Longitude,Latitude
79328,"[(699141.7451999998, 9791862.6477), (699144.0362, 9791867.327)]"
79332,"[(699243.5120999999, 9792120.6997), (699277.7889, 9792153.5538)]"
79333,"[(698553.6491999999, 9792703.7326), (698651.1370000001, 9792854.251)]"
79334,"[(698202.6950000003, 9792851.1495), (698863.8190000001, 9793382.286)]"
79335,"[(698705.8595000003, 9792967.8669), (698726.5684000002, 9792990.426)]"
79336,"[(698175.0066, 9793316.8072), (698211.5861, 9793337.8559)]"
79337,"[(698201.3509, 9793432.7201), (698296.4049000004, 9793541.6144)]"
79339,"[(698444.0016000001, 9794234.7224), (698692.4304999998, 9794434.6604)]"
79341,"[(698264.9406000003, 9794424.7545), (699480.5102000004, 9795055.0716)]"
79342,"[(697907.9069999997, 9794448.8771), (698092.4808, 9794545.5258)]"
79364,"[(697324.5585000003, 9792382.1233), (697592.2740000002, 9792629.2877)]"
79365,"[(697849.6171000004, 9792431.8732), (698509.5608000001, 9792811.7306)]"
79366,"[(697206.7202000003, 9792607.7921), (697348.5865000002, 9792717.5428)]"
79367,"[(696363.8789999997, 9792739.998), (696616.0987, 9793058.6056)]"
79368,"[(696072.4559000004, 9792785.2248), (696095.7501999997, 9792797.944)]"
79369,"[(697625.8421999998, 9793038.0456), (697915.0071, 9793231.1172)]"
79370,"[(696713.0043000001, 9793106.0023), (696810.9250999996, 9793187.6713)]"
79371,"[(696708.0229000002, 9793240.0318), (697009.4704999998, 9793513.241)]"
79372,"[(696594.6738, 9793422.2067), (696676.7849000003, 9793481.3689)]"
79373,"[(696283.6553999996, 9793463.5619), (696340.7664999999, 9793509.7458)]"
79374,"[(696018.0062999995, 9793751.4813), (696082.9053999996, 9793776.3927)]"
79375,"[(697779.8789999997, 9793924.3725), (697802.1102999998, 9793941.2846)]"
79376,"[(697456.2451, 9794059.8068), (697668.8170999996, 9794286.0498)]"
79377,"[(697315.4598000003, 9794139.4357), (697340.1249000002, 9794159.6873)]"
79378,"[(697494.6827999996, 9794151.5119), (697574.881, 9794219.9157)]"
79379,"[(697348.3454, 9794187.7778), (697388.7291000001, 9794211.9222)]"
79380,"[(697486.6530999998, 9794201.5869), (697832.3172000004, 9794512.7412)]"
79381,"[(697432.2498000003, 9794273.4469), (697505.0296999998, 9794327.1587)]"
79382,"[(697033.4008999998, 9794271.0576), (697073.5802999996, 9794305.5177)]"
79383,"[(696823.0597999999, 9794266.9329), (696963.8629000001, 9794411.1832)]"
79384,"[(697351.6512000002, 9794323.7266), (697410.9440000001, 9794372.4582)]"
79385,"[(697192.4444000004, 9794304.936), (697207.9326999998, 9794329.9309)]"
79386,"[(697089.3066999996, 9794367.9416), (697158.6454999996, 9794425.3756)]"
79387,"[(696717.1973000001, 9794385.9048), (696739.8256999999, 9794414.2068)]"
79388,"[(696205.6182000004, 9794386.6228), (696228.1805999996, 9794410.0436)]"
79389,"[(696182.7626, 9794447.1658), (696238.6051000003, 9794483.4838)]"
79390,"[(696255.3711000001, 9794427.1387), (696349.96, 9794508.9012)]"
79391,"[(697766.7231999999, 9794495.1144), (697824.9231000002, 9794599.5179)]"
79392,"[(697136.9038000004, 9794511.3351), (697352.7313000001, 9794630.4423)]"
79393,"[(696038.0603999998, 9794509.9907), (696264.9517999999, 9794686.0599)]"
79394,"[(696929.8871999998, 9794499.2653), (696964.0345999999, 9794533.8803)]"
79395,"[(697399.3848000001, 9794531.833), (697428.3095000004, 9794553.0067)]"
79396,"[(697006.9983999999, 9794532.3676), (697120.5798000004, 9794614.5338)]"
79397,"[(696885.7061999999, 9794555.2635), (696901.9294999996, 9794565.5394)]"
79448,"[(695257.7028999999, 9791820.5097), (695393.8552999999, 9792010.9355)]"
79449,"[(694498.0325999996, 9791860.5117), (694521.8649000004, 9791895.2084)]"
79450,"[(695400.2346000001, 9791923.4629), (695449.1023000004, 9791949.155)]"
79451,"[(693718.4006000003, 9792043.4101), (693750.4477000004, 9792076.571)]"
79452,"[(694106.2818, 9792411.2588), (694444.1935999999, 9792648.8859)]"
79453,"[(694497.9404999996, 9792390.7614), (694522.1480999999, 9792424.1687)]"
79454,"[(694507.4412000002, 9792437.6404), (694521.3435000004, 9792462.883)]"
79455,"[(694436.5941000003, 9792574.3921), (694918.9451000001, 9792919.8933)]"
79456,"[(693773.5504000001, 9792637.3587), (694482.1359999999, 9793274.2527)]"
79457,"[(695688.1051000003, 9792780.549), (695744.1893999996, 9792812.8689)]"
79458,"[(695387.2352999998, 9792626.1797), (696466.3301999997, 9793434.0286)]"
79459,"[(694960.5278000003, 9792936.6385), (695344.4101, 9793183.5521)]"
79460,"[(694477.3491000002, 9793007.698), (694751.2927000001, 9793268.4327)]"
79461,"[(694167.1091999998, 9793504.3637), (694248.5877999999, 9793551.6892)]"
79462,"[(695734.3574999999, 9793532.4305), (695765.6036999999, 9793560.7288)]"
79463,"[(693866.6432999996, 9793749.9871), (693882.1410999997, 9793765.7002)]"
79464,"[(693888.5603, 9793778.7665), (693928.9022000004, 9793820.3422)]"
79480,"[(692268.3720000004, 9791753.6173), (692456.3391000004, 9791840.5745)]"
79481,"[(691798.6180999996, 9791847.9374), (691798.8624, 9791848.2369)]"
79482,"[(692935.1886999998, 9792304.3651), (692951.7265999997, 9792317.8562)]"
79483,"[(693089.2633999996, 9792447.0769), (693138.1679999996, 9792467.3741)]"
79484,"[(692223.9760999996, 9792452.0036), (692270.8163999999, 9792482.5662)]"
79485,"[(692306.1887999997, 9792470.6249), (692381.6207999997, 9792515.8689)]"
79486,"[(691822.1776999999, 9792538.9281), (691879.8890000004, 9792598.0035)]"
79487,"[(692732.3815000001, 9792541.0976), (693184.6796000004, 9792750.1091)]"
79488,"[(692198.6195, 9792584.2505), (692214.2814999996, 9792587.7304)]"
79489,"[(691862.9901999999, 9792910.9103), (691957.7142000003, 9792967.471)]"
79490,"[(691921.2319, 9793046.8101), (691925.6063999999, 9793051.1728)]"
79491,"[(691912.6189000001, 9793040.1121), (691921.9861000003, 9793047.9964)]"
79492,"[(691795.3624, 9793198.0072), (691800.8130999999, 9793201.4123)]"
79493,"[(693499.3502000002, 9793245.4105), (693609.6447999999, 9793357.7626)]"
79494,"[(692066.5541000003, 9793536.5547), (692135.25, 9793649.8113)]"
79495,"[(691809.0396999996, 9794483.6614), (691841.5427000001, 9794505.19)]"
79506,"[(689830.2368999999, 9791906.4404), (689942.6102999998, 9792126.7793)]"
79507,"[(690309.3693000004, 9791921.7551), (690416.6722999997, 9792091.1935)]"
79508,"[(691327.5565, 9792234.4359), (691371.4623999996, 9792296.1139)]"
79509,"[(690241.4330000002, 9792355.0455), (690564.9828000003, 9792516.5905)]"
79510,"[(691314.7396999998, 9792390.2068), (691755.1601999998, 9792597.4071)]"
79511,"[(690624.7099000001, 9792499.9217), (690665.9062999999, 9792529.7398)]"
79512,"[(689488.1837999998, 9792659.8929), (689508.9885, 9792681.5206)]"
79513,"[(691089.3360000001, 9792840.3199), (691110.3630999997, 9792868.3095)]"
79514,"[(691162.3357999995, 9793232.3282), (691183.4336000001, 9793264.6909)]"
79515,"[(689809.9102999996, 9793552.8736), (689876.4753999999, 9793603.843)]"
79516,"[(691308.1947999997, 9794024.2877), (691366.3914000001, 9794183.3042)]"
79517,"[(691248.3147, 9794141.8544), (691276.1502999999, 9794165.9763)]"
79518,"[(690750.4326999998, 9794142.1732), (690890.9483000003, 9794296.8944)]"
79519,"[(690326.5241, 9794200.7632), (690384.0462999996, 9794271.8831)]"
79520,"[(691264.6754999999, 9794303.1676), (691269.8224, 9794309.8528)]"
79521,"[(691257.2725999998, 9794309.8854), (691264.5580000002, 9794313.4411)]"
79522,"[(691373.4748999998, 9794344.6679), (691592.9727999996, 9794561.5855)]"
79523,"[(691278.6838999996, 9794451.5939), (691343.0691, 9794510.6598)]"
79524,"[(690863.9175000004, 9794524.9613), (690902.8814000003, 9794576.8906)]"
79525,"[(690715.8880000003, 9794574.5037), (690748.3047000002, 9794588.697)]"
79546,"[(688321.6470999997, 9791817.7043), (688340.3147999998, 9791863.5412)]"
79550,"[(688664.7083999999, 9792000.0897), (688720.7407, 9792027.7452)]"
79551,"[(688549.5296, 9791996.6982), (688625.7599999998, 9792022.9936)]"
79556,"[(688790.6047999999, 9792091.7741), (688858.0044999998, 9792170.3047)]"
79558,"[(688851.8150000004, 9792174.7233), (688897.2702000001, 9792236.7688)]"
79563,"[(688945.1836999999, 9792294.1161), (689060.9365999997, 9792517.6971)]"
79574,"[(688260.0511999996, 9793282.1525), (688472.3767999997, 9793530.7943)]"
79578,"[(689273.5959000001, 9793856.1473), (689346.5115999999, 9793906.6291)]"
79581,"[(688267.9828000003, 9793924.3199), (688353.5947000002, 9793985.5556)]"
79909,"[(698095.4017000003, 9792568.8039), (698289.3701999998, 9792740.2628)]"
79910,"[(696239.6677000001, 9792064.0838), (696355.2627999997, 9792189.7336)]"
79911,"[(696314.7834999999, 9792087.862), (696716.4922000002, 9792367.6665)]"
79912,"[(696720.6721000001, 9792157.2465), (697132.3915999997, 9792500.7954)]"
79913,"[(697391.2810000004, 9792474.6616), (697486.0751, 9792542.5876)]"
79914,"[(697002.9912, 9792780.8487), (697158.1933000004, 9792926.7345)]"
79915,"[(696781.7922999999, 9792868.856), (696903.892, 9792989.3431)]"
79916,"[(697232.1580999997, 9792957.2978), (697254.0987999998, 9792969.6119)]"
79917,"[(696283.2915000003, 9793210.2491), (696339.1431, 9793272.1033)]"
79918,"[(693968.0755000003, 9792758.2365), (693998.2906999998, 9792786.8967)]"
79919,"[(693888.5201000003, 9792780.5209), (693951.1912000002, 9792825.7211)]"
79920,"[(694113.5800999999, 9792946.9563), (694132.4083000002, 9792974.8764)]"
79921,"[(694128.4061000003, 9792976.7508), (694289.2783000004, 9793176.7316)]"
79922,"[(695679.6838999996, 9793080.0722), (695700.9698999999, 9793107.8283)]"
79923,"[(695714.6032999996, 9793081.3622), (695856.1338999998, 9793303.6592)]"
79924,"[(693025.8629999999, 9792109.4732), (693063.9565000003, 9792193.2334)]"
79925,"[(693495.5027000001, 9792117.8596), (693590.3534000004, 9792219.4756)]"
79926,"[(693428.5104, 9792400.7874), (693569.9974999996, 9792545.8943)]"
79927,"[(693614.4172, 9792566.1096), (693763.4759, 9792729.2745)]"
80295,"[(699031.3745999997, 9788203.2784), (699436.2533999998, 9788525.7916)]"
80298,"[(698305.0109000001, 9788492.6918), (698775.2633999996, 9789072.3864)]"
80299,"[(698706.7313000001, 9789047.1284), (698757.2110000001, 9789109.0915)]"
80300,"[(698935.4105000002, 9789854.2121), (699060.2789000003, 9789968.426)]"
80301,"[(697944.4164000005, 9789928.7926), (698373.3673, 9790196.2545)]"
80308,"[(697757.8057000004, 9788314.9472), (698235.5089999996, 9788692.4667)]"
80309,"[(697232.7537000002, 9788488.4067), (697293.8931999998, 9788527.227)]"
80310,"[(697719.5621999996, 9788672.0815), (697746.3028999995, 9788716.8601)]"
80311,"[(697851.1179, 9788713.4083), (697855.0445999997, 9788715.5123)]"
80312,"[(697844.4080999997, 9788705.4221), (697849.6898999996, 9788713.6297)]"
80313,"[(696607.2235000003, 9789387.8545), (697670.8515999997, 9790204.6858)]"
80314,"[(696693.2944, 9789411.1982), (696705.2849000003, 9789414.6718)]"
80315,"[(697715.5356999999, 9789526.0991), (698078.2547000004, 9789828.7484)]"
80316,"[(696383.9467000002, 9790023.0133), (696404.9387999997, 9790048.5931)]"
80317,"[(697206.2183999997, 9790077.0293), (697241.9943000004, 9790124.1562)]"
80318,"[(697550.3602, 9790157.4276), (697745.5862999996, 9790408.3321)]"
80319,"[(697205.0199999996, 9790148.8427), (697205.5285999998, 9790150.6863)]"
80320,"[(697229.4495999999, 9790182.6954), (697231.3477999996, 9790186.3109)]"
80321,"[(696895.0115999999, 9790305.6034), (696902.4727999996, 9790310.3556)]"
80322,"[(697515.1617999999, 9790330.9343), (697547.3871999998, 9790384.218)]"
80323,"[(696292.9242000002, 9790364.04), (696305.7006000001, 9790375.8259)]"
80324,"[(696243.5449999999, 9790423.0702), (696291.7981000002, 9790469.8136)]"
80325,"[(697271.4145999998, 9790702.579), (697480.9983000001, 9790924.1833)]"
80326,"[(696230.7421000004, 9790695.4731), (696286.7693999996, 9790728.2522)]"
80327,"[(697250.9590999996, 9790695.9781), (697326.2155999998, 9790716.954)]"
80328,"[(696324.4965000004, 9790724.7917), (696346.5618000003, 9790751.9849)]"
80329,"[(697510.0420000004, 9790847.9214), (697526.6743000001, 9790859.7051)]"
80330,"[(697531.1448999997, 9790873.6864), (697549.2313999999, 9790970.0403)]"
