Longitude,Latitude
698847.1610800192,9793190.782281034
698404.1441456034,9793344.665736629
698816.3835110166,9793118.283178851
698794.1554084022,9793026.588808833
698787.6958499205,9792999.283537397
698699.11810524,9792857.73041825
698419.2519032353,9792609.997523798
697899.8638498614,9792623.24794952
697509.4462720467,9794124.472824855
697525.5735763259,9794285.752754368
697523.3779124122,9794219.365815045
697517.7895821937,9794172.11483153
697672.8395700104,9794309.15907401
697710.6481303804,9794301.646796338
697008.7593686114,9794610.846521871
697014.0568746654,9794613.789577698
695393.1558063292,9791912.953351937
695281.1820221714,9791914.663373508
694441.3991911439,9792539.824896328
694107.095844987,9792542.93121932
694549.0821319385,9792624.466477802
694554.0503287057,9792859.037849136
694575.3916622275,9792863.027582835
694469.1623452846,9793165.280248346
694090.8967424615,9793169.720843688
694189.0208183066,9792873.28590005
693792.001445317,9792888.661421204
695692.1188422852,9792792.38696488
695692.3719515551,9792802.433864916
695393.1197519744,9793148.548312157
695695.6112925861,9792931.021785727
695696.4195463168,9793350.482635498
695233.7448538417,9793150.819823736
695307.2984990907,9793149.77149079
694557.4823430568,9793020.293352593
694558.3074502394,9793059.061662031
694564.2706629493,9793163.794505864
694737.7768945856,9793160.91289907
693903.6780485344,9793812.951404523
693928.4934315074,9793812.271314021
691848.8461296234,9792596.092640832
691863.4435844374,9792595.811574614
692965.0843966112,9792568.355724266
692781.2492799737,9792574.618852343
691946.0770933407,9792922.840827776
691864.5094074322,9792924.90705927
693520.2648719002,9793247.611150723
693522.979882911,9793333.070028173
689888.9344660938,9791956.270452162
689930.8816882633,9791956.569220424
690310.8851070787,9791959.275787266
690378.812764895,9792050.496557578
690375.3507922804,9791930.835977681
691341.197259429,9792293.99631245
691365.892412074,9792293.643698141
690397.3415411435,9792388.267525813
690350.5940879924,9792502.742466684
691389.512497224,9792467.459005674
691392.1338036649,9792581.9171023
691396.8539061293,9794373.523595275
691398.5818850701,9794512.725719897
688470.7637280572,9793496.944517344
694205.0698927189,9793168.3805242
694265.141463879,9793167.67532252
695699.8247753454,9793098.282370599
695699.6465215593,9793091.206316367
693498.2097011068,9792124.161612542
